Year, Residential, Commercial
2021,20.83,17.27
2022,20.64,17.51
2023,20.82,17.49
2024,20.75,17.31
2025,20.71,17.19
2026,20.71,17.08
2027,20.65,17.03
2028,20.58,16.96
2029,20.54,16.92
2030,20.52,16.88
2031,20.52,16.88
2032,20.52,16.88
2033,20.49,16.86
2034,20.48,16.86
2035,20.49,16.89
2036,20.53,16.93
2037,20.57,16.96
2038,20.64,17.02
2039,20.71,17.08
2040,20.77,17.13
2041,20.82,17.19
2042,20.89,17.27
2043,20.96,17.35
2044,21.03,17.43
2045,21.11,17.51
2046,21.2,17.59
2047,21.29,17.69
2048,21.38,17.79
2049,21.49,17.9
2050,21.6,18.02